Entry	Subcellular location [CC]
O75185	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
P05496	SUBCELLULAR LOCATION: Mitochondrion membrane; Multi-pass membrane protein.
Q06055	SUBCELLULAR LOCATION: Mitochondrion membrane; Multi-pass membrane protein.
O60423	SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle, acrosome membrane {ECO:0000250|UniProtKB:Q6UQ17}; Multi-pass membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:20947505}; Multi-pass membrane protein {ECO:0000255}.
Q9D0L7	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}.
Q9P291	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
Q9JHE3	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11591392, ECO:0000269|PubMed:12921776}; Single-pass type II membrane protein {ECO:0000269|PubMed:11591392, ECO:0000269|PubMed:12921776}. Note=The neutral ceramidase soluble form is a secreted protein.
Q925H0	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15537887, ECO:0000269|PubMed:15708491}; Multi-pass membrane protein {ECO:0000269|PubMed:15537887, ECO:0000269|PubMed:15708491}. Note=Localized at the plasma membrane, in the soma and punctated peripheral processes of neurons.
Q96FT7	SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q9Y284	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
O94823	SUBCELLULAR LOCATION: Cytoplasmic vesicle membrane; Multi-pass membrane protein. Endoplasmic reticulum membrane. Note=Exit from the endoplasmic reticulum requires the presence of TMEM30A, but not TMEM30B.
P98197	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Early endosome {ECO:0000250}. Recycling endosome {ECO:0000250}. Endoplasmic reticulum {ECO:0000250}. Note=Exit from the endoplasmic reticulum requires the presence of TMEM30A, but not TMEM30B. In the presence of TMEM30A, predominantly located in the plasma membrane (By similarity). {ECO:0000250}.
Q8NB49	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21914794}; Multi-pass membrane protein {ECO:0000269|PubMed:21914794}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:21914794}. Note=Efficient exit from the endoplasmic reticulum requires the presence of TMEM30A. Some cell membrane localization observed in the presence of TMEM30B.
Q9EPE9	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q9NQ11	SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Lysosome {ECO:0000269|PubMed:21542062, ECO:0000269|PubMed:22186024, ECO:0000269|PubMed:28137957}. Lysosome membrane {ECO:0000269|PubMed:22768177}.
Q8VDN2	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P05023}; Multi-pass membrane protein {ECO:0000255}.
Q13733	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:16175638}; Multi-pass membrane protein {ECO:0000269|PubMed:16175638}. Note=In mature sperm, located in the principle piece of the sperm flagellum.
P14094	SUBCELLULAR LOCATION: Cell membrane {ECO:0000255}; Single-pass type II membrane protein {ECO:0000255}. Cell membrane, sarcolemma {ECO:0000269|PubMed:23392350}. Note=Colocalizes with OBSCN at the intercalated disk and sarcolemma in cardiomyocytes. Localizes in long striations at the level of Z and M lines. {ECO:0000269|PubMed:23392350}.
Q9NTI2	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}. Golgi apparatus {ECO:0000269|PubMed:20947505}. Endosome {ECO:0000250}. Cell projection, cilium, photoreceptor outer segment {ECO:0000250}. Cell membrane {ECO:0000269|PubMed:20947505}. Note=Localizes to the Golgi and endosomes in photoreceptor cells. Localizes to disk membranes of rod photoreceptor outer segments (ROS) (By similarity). {ECO:0000250}.
P98198	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20947505, ECO:0000269|PubMed:20961850}; Multi-pass membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:20961850}; Multi-pass membrane protein {ECO:0000255}. Note=TMEM30A, but not TMEM30B, is required for its export from endoplasmic reticulum to the plasma membrane. {ECO:0000269|PubMed:20961850}.
Q8BH66	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q8WXF7}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q8WXF7}. Golgi apparatus membrane {ECO:0000250|UniProtKB:Q8WXF7}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q8WXF7}. Cell projection, axon {ECO:0000250|UniProtKB:Q6PST4}. Note=Localizes to endoplasmic reticulum tubular network. {ECO:0000269|PubMed:24668814}.
Q6PA06	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q8NHH9}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q8NHH9}.
Q7L4S7	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
P34927	SUBCELLULAR LOCATION: Membrane; Single-pass type II membrane protein.
P07307	SUBCELLULAR LOCATION: Membrane; Single-pass type II membrane protein.
P70704	SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle, chromaffin granule membrane {ECO:0000269|PubMed:16643453}; Multi-pass membrane protein {ECO:0000255}. Cytoplasmic granule {ECO:0000269|PubMed:16643453}. Cell membrane {ECO:0000250|UniProtKB:Q9Y2Q0}. Endoplasmic reticulum {ECO:0000250|UniProtKB:Q9Y2Q0}. Golgi apparatus {ECO:0000250|UniProtKB:Q9Y2Q0}. Note=Exit from the endoplasmic reticulum requires the presence of TMEM30A, but not TMEM30B. In the presence of TMEM30A, predominantly located in cytoplasmic punctate structures (By similarity). Localizes to plasma membranes of red blood cells (PubMed:16643453). {ECO:0000250, ECO:0000269|PubMed:16643453}.
P98200	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}. Golgi apparatus {ECO:0000269|PubMed:24413176}. Endosome {ECO:0000269|PubMed:24413176}. Cell projection, cilium, photoreceptor outer segment {ECO:0000269|PubMed:24413176}. Cell membrane {ECO:0000269|PubMed:24413176}. Note=Localizes to the Golgi and endosomes in photoreceptor cells. Localizes to disk membranes of rod photoreceptor outer segments (ROS).
P98199	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P98198}; Multi-pass membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P98198}; Multi-pass membrane protein {ECO:0000255}. Note=TMEM30A, but not TMEM30B, is required for its export from endoplasmic reticulum to the plasma membrane. {ECO:0000250|UniProtKB:P98198}.
A3FIN4	SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle, acrosome membrane {ECO:0000269|PubMed:19657017}; Multi-pass membrane protein {ECO:0000269|PubMed:19657017}.
Q925I1	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}. Mitochondrion matrix, mitochondrion nucleoid {ECO:0000250}. Note=In the mitochondrial inner membrane, enriched in sites with the potential to form contacts with the outer membrane. The N-terminal domain interacts with the inner surface of the mitochondrial outer membrane and the C-terminal domain localizes in a specific matrix compartment, where it is associated with nucleoids (By similarity). {ECO:0000250}.
F6VAN0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.; SUBCELLULAR LOCATION: Processed cyclic AMP-dependent transcription factor ATF-6 alpha: Nucleus. Note=Under ER stress the cleaved N-terminal cytoplasmic domain translocates into the nucleus. THBS4 promotes its nuclear shuttling.
Q8NBQ7	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q15041	SUBCELLULAR LOCATION: Endomembrane system {ECO:0000269|PubMed:10995579}; Multi-pass membrane protein {ECO:0000269|PubMed:10995579}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:12754298, ECO:0000269|PubMed:24076029, ECO:0000269|PubMed:24262037}; Multi-pass membrane protein {ECO:0000269|PubMed:24076029}. Endoplasmic reticulum {ECO:0000250|UniProtKB:Q9JKW0}. Note=Predominantly localized to intracytoplasmic membranes. Preferentially localizes at the ER tubules and the edge of the ER sheets, both of which are characterized by a high membrane curvature. {ECO:0000269|PubMed:24262037}.
Q6PGD0	SUBCELLULAR LOCATION: Nucleus envelope {ECO:0000250|UniProtKB:Q6UW56}. Cell membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q6UW56}. Note=Colocalizes with NELL1 on the nuclear envelope and the perinuclear region. {ECO:0000250|UniProtKB:Q6UW56}.
Q8BHS6	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
P07306	SUBCELLULAR LOCATION: Isoform H1a: Membrane; Single-pass type II membrane protein.; SUBCELLULAR LOCATION: Isoform H1b: Secreted {ECO:0000269|PubMed:20886072}.
P56134	SUBCELLULAR LOCATION: Mitochondrion. Mitochondrion inner membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
O75882	SUBCELLULAR LOCATION: Isoform 1: Cell membrane {ECO:0000269|PubMed:7539799}; Single-pass type I membrane protein {ECO:0000269|PubMed:7539799}.; SUBCELLULAR LOCATION: Isoform 2: Secreted {ECO:0000269|PubMed:7539799, ECO:0000269|PubMed:9736737}.; SUBCELLULAR LOCATION: Isoform 3: Secreted {ECO:0000269|PubMed:7539799}.
Q9Y679	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:12042322, ECO:0000269|PubMed:18711132}; Single-pass type III membrane protein {ECO:0000269|PubMed:12042322, ECO:0000269|PubMed:18711132}; Cytoplasmic side {ECO:0000269|PubMed:12042322, ECO:0000269|PubMed:18711132}.
Q58HT5	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
P59017	SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}.
Q9EQG5	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
O76090	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19853238, ECO:0000269|PubMed:26200502}; Multi-pass membrane protein {ECO:0000269|PubMed:19853238}. Basolateral cell membrane {ECO:0000269|PubMed:19853238, ECO:0000269|PubMed:26200502}.
Q5FYA8	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q61137	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20573900, ECO:0000269|PubMed:8602532}; Multi-pass membrane protein {ECO:0000305}. Perikaryon {ECO:0000269|PubMed:20573900}. Endosome {ECO:0000269|PubMed:20573900}. Cytoplasmic vesicle, clathrin-coated vesicle {ECO:0000305|PubMed:20573900}. Note=Detected close to the anterior pole and at the base of the leading process in migrating neurons. Is internalized from the membrane via clathrin-coated vesicles and endosomes, and recycled to the anterior pole of the migrating cell. {ECO:0000269|PubMed:20573900}.
O75129	SUBCELLULAR LOCATION: Membrane {ECO:0000250|UniProtKB:Q80Z10}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q80Z10}. Perikaryon {ECO:0000250|UniProtKB:Q80Z10}. Cytoplasm, cell cortex {ECO:0000250|UniProtKB:Q80Z10}. Early endosome {ECO:0000250|UniProtKB:Q80Z10}. Late endosome {ECO:0000250|UniProtKB:Q80Z10}. Cytoplasmic vesicle, clathrin-coated vesicle {ECO:0000250|UniProtKB:Q80Z10}. Cytoplasmic vesicle {ECO:0000250|UniProtKB:Q80Z10}. Note=Integral membrane protein not detected at the cell membrane. Detected in cytoplasmic vesicles in the cell cortex, close to the anterior pole of migrating neurons. Detected at the base of the leading process in migrating neurons. {ECO:0000250|UniProtKB:Q80Z10}.
P56384	SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q6UQ17	SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle, acrosome membrane {ECO:0000269|PubMed:14975727, ECO:0000269|PubMed:19017724}; Multi-pass membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:O60423}; Multi-pass membrane protein {ECO:0000255}.
Q91YH5	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q6DD88}; Multi-pass membrane protein {ECO:0000255}. Note=Localizes to endoplasmic reticulum tubules and accumulates in punctuate structures corresponding to 3-way junctions, which represent crossing-points at which the tubules build a polygonal network. Localizes to endoplasmic reticulum tubular network. {ECO:0000250|UniProtKB:Q6DD88}.
P54710	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type III membrane protein {ECO:0000305}.
Q6RW13	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:12960423}; Multi-pass membrane protein {ECO:0000269|PubMed:12960423}. Golgi apparatus membrane {ECO:0000269|PubMed:12960423}; Multi-pass membrane protein {ECO:0000269|PubMed:12960423}. Cytoplasmic vesicle membrane {ECO:0000269|PubMed:12960423}; Multi-pass membrane protein {ECO:0000269|PubMed:12960423}. Note=Present in perinuclear vesicular membranes, Endoplasmic reticulum, Golgi and endocytic vesicles.
Q8NBF6	SUBCELLULAR LOCATION: Recycling endosome {ECO:0000269|PubMed:22595670}. Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
Q13705	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.
Q80U56	SUBCELLULAR LOCATION: Recycling endosome {ECO:0000250}. Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
A2ADU9	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q9Z0F3	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250}. Nucleus membrane {ECO:0000250}.
Q8NCR0	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}. Endoplasmic reticulum {ECO:0000269|PubMed:23453667}.
Q8BGY6	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.
Q8BWP8	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:23217742}; Single-pass type II membrane protein. Note=Localizes near the trans-Golgi apparatus. {ECO:0000250|UniProtKB:O43505}.
Q09199	SUBCELLULAR LOCATION: Golgi apparatus membrane; Single-pass type II membrane protein.
Q766D5	SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.
P56817	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein. Golgi apparatus, trans-Golgi network {ECO:0000250|UniProtKB:P56818}. Endoplasmic reticulum. Endosome {ECO:0000250|UniProtKB:P56818}. Cell surface. Cytoplasmic vesicle membrane. Membrane raft {ECO:0000250|UniProtKB:P56818}. Note=Predominantly localized to the later Golgi/trans-Golgi network (TGN) and minimally detectable in the early Golgi compartments. A small portion is also found in the endoplasmic reticulum, endosomes and on the cell surface.
P18572	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12601063}; Single-pass type I membrane protein. Melanosome {ECO:0000250|UniProtKB:P35613}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV (By similarity). In spermatozoa, localized on the principal piece of caput and in the middle piece during transit in the corpus and cauda epididymides (PubMed:11882021). {ECO:0000250|UniProtKB:P35613, ECO:0000269|PubMed:11882021}.
Q9QXA6	SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000305|PubMed:12167606}; Multi-pass membrane protein {ECO:0000305|PubMed:12167606}.
P78348	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12578970, ECO:0000269|PubMed:21036899, ECO:0000269|PubMed:22760635}; Multi-pass membrane protein {ECO:0000269|PubMed:12578970, ECO:0000269|PubMed:21036899, ECO:0000269|PubMed:22760635}. Note=Localizes in synaptosomes at dendritic synapses of neurons. Colocalizes with DLG4 (By similarity). {ECO:0000250}.
Q7TNS7	SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q9R0Y1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q6ICH7	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.
P18850	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Single-pass type II membrane protein.; SUBCELLULAR LOCATION: Processed cyclic AMP-dependent transcription factor ATF-6 alpha: Nucleus. Note=Under ER stress the cleaved N-terminal cytoplasmic domain translocates into the nucleus. THBS4 promotes its nuclear shuttling.
P20648	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
P50992	SUBCELLULAR LOCATION: Cell membrane; Single-pass type II membrane protein.
O35451	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.; SUBCELLULAR LOCATION: Processed cyclic AMP-dependent transcription factor ATF-6 beta: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00978}. Note=Under ER stress the cleaved N-terminal cytoplasmic domain translocates into the nucleus. {ECO:0000250}.
Q6DD88	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:18270207, ECO:0000269|PubMed:24459106}; Multi-pass membrane protein {ECO:0000269|PubMed:18270207, ECO:0000269|PubMed:24459106}. Note=Localizes to endoplasmic reticulum tubules and accumulates in punctuate structures corresponding to 3-way junctions, which represent crossing-points at which the tubules build a polygonal network. {ECO:0000269|PubMed:23969831, ECO:0000269|PubMed:24459106}.
Q04646	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type III membrane protein {ECO:0000305}.
P03928	SUBCELLULAR LOCATION: Mitochondrion membrane; Single-pass membrane protein.
P98195	SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
P56135	SUBCELLULAR LOCATION: Mitochondrion. Mitochondrion inner membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
P13808	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.
Q9P2W7	SUBCELLULAR LOCATION: Isoform 1: Golgi apparatus membrane {ECO:0000250|UniProtKB:O35789}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:O35789}. Secreted {ECO:0000250|UniProtKB:O35789}.; SUBCELLULAR LOCATION: Isoform 2: Golgi apparatus membrane {ECO:0000250|UniProtKB:O35789}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:O35789}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:O35789}. Secreted {ECO:0000250|UniProtKB:O35789}.
P58158	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250|UniProtKB:O94766}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:O94766}. Golgi apparatus, cis-Golgi network {ECO:0000250|UniProtKB:O94766}.
O43825	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.
Q9WVK5	SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}. Note=Trans cisternae of Golgi stack. {ECO:0000250}.
Q674R7	SUBCELLULAR LOCATION: Cytoplasmic vesicle, autophagosome membrane {ECO:0000269|PubMed:18936157}; Multi-pass membrane protein {ECO:0000269|PubMed:18936157}. Note=Under amino acid starvation or rapamycin treatment, redistributes from a juxtanuclear clustered pool to a dispersed peripheral cytosolic pool. The starvation-induced redistribution depends on ULK1 and ATG13.
P00848	SUBCELLULAR LOCATION: Mitochondrion inner membrane; Multi-pass membrane protein.
Q9WVK0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Golgi apparatus membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Cytoplasmic vesicle membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Note=Present in perinuclear vesicular membranes, Endoplasmic reticulum, Golgi and endocytic vesicles. {ECO:0000250}.
P70295	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}.
P27037	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
P04919	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:2713407}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P02730}. Basolateral cell membrane {ECO:0000250|UniProtKB:P02730}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P02730}. Note=Detected in the erythrocyte cell membrane and on the basolateral membrane of alpha-intercalated cells in the collecting duct in the kidney. {ECO:0000250|UniProtKB:P02730}.
Q8BG28	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}. Endoplasmic reticulum {ECO:0000250}.
Q5JCS9	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.
Q8R3I9	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250|UniProtKB:Q9NY97}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:Q9NY97}.
O54905	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.
O43505	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:19587235, ECO:0000269|PubMed:23359570, ECO:0000269|PubMed:25279699}; Single-pass type II membrane protein {ECO:0000269|PubMed:23359570}. Note=Localizes near the trans-Golgi apparatus. {ECO:0000269|PubMed:25279699}.
Q8NHY0	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.
O60909	SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane; Single-pass type II membrane protein. Note=Trans cisternae of Golgi stack.
Q61335	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P51572}; Multi-pass membrane protein {ECO:0000255}. Endoplasmic reticulum-Golgi intermediate compartment membrane {ECO:0000250|UniProtKB:P51572}; Multi-pass membrane protein {ECO:0000255}. Note=May shuttle between the ER and the intermediate compartment/cis-Golgi complex. {ECO:0000250|UniProtKB:P51572}.
P35613	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15946952, ECO:0000269|PubMed:17127621, ECO:0000269|PubMed:21536654}; Single-pass type I membrane protein {ECO:0000303|PubMed:15946952}. Melanosome {ECO:0000269|PubMed:17081065}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV. In spermatozoa, localized on the principal piece of caput and in the middle piece during transit in the corpus and cauda epididymides (By similarity). {ECO:0000250|UniProtKB:P18572, ECO:0000269|PubMed:17081065}.
Q9NY97	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.
Q7Z7M8	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250|UniProtKB:Q9NY97}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:Q9NY97}.
O60513	SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane; Single-pass type II membrane protein. Note=Trans cisternae of Golgi stack.
Q9Y5Z0	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein. Golgi apparatus. Endoplasmic reticulum. Endosome. Cell surface.
O14514	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12074842}; Multi-pass membrane protein {ECO:0000269|PubMed:12074842}. Note=Likely to be concentrated at cell-cell adhesion sites.
Q9Y276	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:18628306, ECO:0000269|PubMed:9878253}; Single-pass membrane protein {ECO:0000269|PubMed:18628306, ECO:0000269|PubMed:9878253}.
O88870	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein. Basolateral cell membrane {ECO:0000250}.
Q8N1M1	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
P46663	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
P62951	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q5VV63	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.
P27040	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.
Q07817	SUBCELLULAR LOCATION: Isoform Bcl-X(L): Mitochondrion inner membrane {ECO:0000250}. Mitochondrion outer membrane {ECO:0000250}. Mitochondrion matrix {ECO:0000250}. Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000250}. Cytoplasm, cytosol {ECO:0000250}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome. Nucleus membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Note=After neuronal stimulation, translocates from cytosol to synaptic vesicle and mitochondrion membrane in a calmodulin-dependent manner (By similarity). Localizes to the centrosome when phosphorylated at Ser-49. {ECO:0000250}.
P04920	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.
P16283	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.
P59270	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.
O75752	SUBCELLULAR LOCATION: Golgi apparatus membrane; Single-pass type II membrane protein.
Q9Z222	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.
Q1RLK6	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.
Q9Y5Z6	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.
Q91Z92	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.
Q6L9W6	SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane {ECO:0000269|PubMed:16728562}; Single-pass type II membrane protein {ECO:0000269|PubMed:16728562}. Note=Localizes to apical Golgi.
